Region,Crop,Date,Rainfall_mm,Temperature_C,Soil_moisture_pct,NDVI,LST_C,Yield_kg_ha,Area_cultivated_ha,Market_price_Birr_kg,Supply_tons,Demand_index,Season
Amhara,Maize,2022-01-19,205.1,29.2,22.2,0.768,28.2,3811.9,21.25,37.45,3992.0,0.94,Bega
Somali,Sorghum,2016-03-03,124.8,35.0,49.1,0.554,34.2,2132.4,36.12,23.15,625.2,0.86,Belg
Gambella,Sorghum,2024-12-16,68.2,29.9,30.8,0.154,28.2,863.9,50.65,27.53,70.1,1.56,Bega
Benishangul-Gumuz,Wheat,2016-01-28,27.9,17.5,42.8,0.75,22.0,1361.4,22.61,75.51,2847.5,1.77,Bega
Gambella,Sesame,2015-06-18,197.3,28.4,13.9,0.395,30.7,1032.9,60.19,51.29,2353.7,1.07,Meher
Somali,Maize,2020-03-25,117.5,26.1,42.5,0.868,38.2,2281.7,91.25,75.93,124.7,1.39,Belg
Tigray,Wheat,2020-06-30,99.0,25.3,41.7,0.664,31.8,1653.3,74.15,15.16,1572.9,1.27,Meher
Benishangul-Gumuz,Teff,2017-09-08,97.2,25.7,23.2,0.484,30.3,759.6,68.72,31.58,3301.0,1.91,Meher
Oromia,Wheat,2015-07-22,117.8,28.1,32.6,0.543,44.9,2763.8,26.02,57.12,496.6,1.74,Meher
Gambella,Barley,2015-05-21,208.0,27.0,42.5,0.375,36.1,3220.4,96.56,86.71,2669.5,1.88,Belg
SNNPR,Wheat,2017-09-10,71.9,23.6,22.3,0.465,26.5,1014.8,57.79,52.47,3046.0,1.89,Meher
Gambella,Maize,2022-07-04,36.3,28.7,23.5,0.15,31.0,2734.2,94.71,98.07,2242.5,1.4,Meher
Tigray,Sesame,2018-02-13,242.0,30.0,25.0,0.544,29.4,3171.9,76.98,30.71,780.7,0.89,Bega
Gambella,Wheat,2016-03-02,94.6,26.6,20.3,0.465,35.7,2105.6,97.5,50.1,1291.0,1.39,Belg
Benishangul-Gumuz,Coffee,2017-06-23,80.1,31.1,39.9,0.252,33.2,3414.8,31.41,75.41,3240.9,0.89,Meher
SNNPR,Teff,2023-01-31,238.8,27.8,38.9,0.138,23.9,3704.0,89.67,30.32,791.1,1.23,Bega
Oromia,Wheat,2015-04-27,93.0,27.0,46.5,0.499,25.6,4855.4,15.66,16.86,2760.9,1.49,Belg
Amhara,Wheat,2021-06-25,44.1,28.3,48.5,0.181,40.2,2456.1,22.38,22.42,2303.8,1.82,Meher
Oromia,Sesame,2017-11-13,95.0,19.6,42.6,0.337,36.2,1530.4,69.38,14.91,802.2,1.65,Bega
Somali,Wheat,2016-04-23,168.3,27.2,37.9,0.243,13.9,2264.0,9.34,83.26,1880.6,0.71,Belg
Amhara,Barley,2024-04-29,39.7,31.9,30.2,0.638,29.7,2893.2,29.5,56.69,2177.4,1.79,Belg
Gambella,Coffee,2024-04-20,129.1,24.9,33.7,0.551,30.0,2157.0,79.2,92.92,2089.4,1.27,Belg
SNNPR,Sesame,2023-03-16,8.6,20.9,49.1,0.541,31.8,2265.0,13.25,81.09,4855.5,1.98,Belg
Tigray,Teff,2016-12-21,160.2,23.7,38.1,0.242,37.9,1800.5,75.05,25.16,1359.4,1.21,Bega
SNNPR,Sesame,2022-04-08,92.8,25.2,24.0,0.765,26.2,1810.0,14.34,78.2,1138.7,0.69,Belg
Tigray,Coffee,2024-01-15,67.3,26.4,41.3,0.291,19.5,2977.1,6.75,78.26,2106.2,1.93,Bega
Oromia,Wheat,2021-09-20,135.8,25.5,33.7,0.73,35.7,2072.2,92.67,39.61,4925.2,0.61,Meher
Gambella,Sesame,2016-06-02,364.4,20.7,42.5,0.869,29.1,2772.7,82.48,70.97,1165.0,0.62,Meher
Benishangul-Gumuz,Coffee,2024-04-09,159.7,17.8,22.7,0.546,27.0,2228.7,70.24,51.06,1493.1,0.64,Belg
Gambella,Sesame,2018-07-28,26.7,28.4,23.1,0.748,27.1,2189.2,94.58,43.44,4673.2,1.59,Meher
Gambella,Wheat,2018-01-22,103.9,26.1,45.5,0.898,29.8,2968.0,95.94,24.27,2577.4,1.75,Bega
Gambella,Sorghum,2019-10-13,59.4,24.9,29.4,0.279,30.2,2104.3,70.4,24.47,1169.7,0.64,Meher
Somali,Barley,2019-12-03,41.5,17.1,44.1,0.414,27.9,2260.2,84.46,35.1,3602.6,1.5,Bega
Somali,Barley,2017-10-18,74.9,21.1,30.8,0.285,21.3,1813.6,44.28,32.97,4431.9,1.83,Meher
Tigray,Teff,2020-12-30,168.5,21.9,37.0,0.736,28.9,3053.6,42.78,74.74,4311.2,1.12,Bega
Tigray,Teff,2020-06-02,14.7,27.2,21.7,0.209,31.6,1617.8,50.76,16.77,4307.8,1.98,Meher
Tigray,Maize,2019-09-08,100.3,16.7,48.5,0.813,31.8,1393.8,33.07,63.15,2411.4,1.6,Meher
Somali,Sorghum,2015-11-19,35.2,33.8,45.5,0.779,13.3,2623.0,80.67,42.44,4168.2,1.11,Bega
Oromia,Barley,2018-09-27,140.8,19.0,26.9,0.424,37.4,1480.9,42.66,97.49,4162.1,1.24,Meher
Benishangul-Gumuz,Sorghum,2018-05-11,65.1,29.8,19.9,0.875,21.7,2741.7,59.58,38.54,1358.1,1.94,Belg
Gambella,Maize,2024-03-27,71.5,33.9,18.0,0.527,42.6,2517.8,88.7,92.21,4606.8,0.72,Belg
Benishangul-Gumuz,Teff,2023-01-24,119.8,27.0,21.0,0.529,31.7,4103.0,43.79,11.3,3116.0,1.17,Bega
Amhara,Maize,2015-12-18,159.6,24.3,43.8,0.659,32.6,3651.7,77.77,13.71,3726.9,1.43,Bega
Tigray,Wheat,2024-09-17,132.3,30.2,49.2,0.597,41.9,2480.4,55.48,42.38,1850.7,1.5,Meher
Benishangul-Gumuz,Barley,2020-01-02,84.9,12.1,34.1,0.581,40.1,2283.0,25.08,52.8,2007.1,1.84,Bega
Somali,Sesame,2022-01-04,8.0,27.4,30.7,0.783,31.1,2230.1,76.82,61.0,3776.8,1.98,Bega
Amhara,Coffee,2021-06-09,1.8,28.9,39.5,0.718,38.1,2539.2,43.03,51.51,1951.3,0.97,Meher
SNNPR,Barley,2021-08-24,119.6,27.1,44.4,0.75,42.2,1883.4,4.57,22.74,4425.5,0.82,Meher
Amhara,Barley,2016-09-15,281.2,19.0,23.8,0.308,39.6,2374.8,55.02,19.63,1831.1,0.74,Meher
Tigray,Barley,2020-01-22,7.1,24.2,45.7,0.612,47.0,2956.3,19.89,26.39,2759.3,0.81,Bega
Tigray,Sesame,2017-09-27,52.3,27.1,33.7,0.883,35.3,2725.0,10.9,92.49,3240.6,1.78,Meher
Gambella,Coffee,2020-10-01,24.9,32.5,33.9,0.769,28.1,1993.7,8.43,25.8,3590.8,1.85,Meher
Tigray,Wheat,2020-11-02,45.1,15.7,43.6,0.501,13.9,2709.9,92.3,98.46,1773.2,1.27,Bega
SNNPR,Sesame,2023-02-07,101.9,32.5,30.4,0.402,37.3,3220.1,63.07,10.64,1529.2,1.18,Bega
Gambella,Sesame,2020-08-19,64.8,26.5,18.1,0.494,30.5,2104.6,44.93,75.97,728.5,1.13,Meher
Gambella,Teff,2015-04-26,11.1,31.4,43.3,0.751,34.2,3461.2,56.21,63.99,3952.1,1.64,Belg
Oromia,Sesame,2018-12-31,115.0,19.5,26.8,0.37,29.3,1483.8,84.98,71.73,2088.1,1.27,Bega
Tigray,Teff,2017-07-16,33.0,19.2,21.1,0.515,33.6,2656.8,4.77,91.15,1147.6,1.7,Meher
Amhara,Wheat,2023-01-07,68.7,30.9,25.3,0.897,31.4,1931.0,39.12,86.36,1212.9,0.66,Bega
Amhara,Teff,2021-09-04,109.3,21.9,36.6,0.287,19.8,2338.2,12.16,91.53,1748.4,1.77,Meher
Somali,Maize,2015-07-29,32.5,28.0,26.6,0.256,40.3,2026.1,46.45,22.15,162.9,1.28,Meher
Benishangul-Gumuz,Sesame,2023-04-30,20.8,24.6,17.9,0.215,20.6,2744.9,29.56,84.12,3965.5,0.67,Belg
Tigray,Coffee,2020-04-08,107.3,26.2,24.8,0.144,25.1,1936.1,53.03,96.09,3361.7,1.04,Belg
SNNPR,Wheat,2020-10-10,205.0,30.4,22.7,0.11,28.2,2430.1,94.6,87.38,2188.9,0.67,Meher
Oromia,Sorghum,2018-08-03,91.7,21.5,30.2,0.146,34.8,2751.5,6.59,75.12,886.9,1.31,Meher
SNNPR,Wheat,2018-03-29,93.9,29.2,26.8,0.8,22.3,1537.7,72.75,94.52,186.6,1.64,Belg
Gambella,Sorghum,2021-07-29,100.7,23.3,17.4,0.897,25.7,1532.3,57.05,22.15,4735.4,1.21,Meher
Benishangul-Gumuz,Teff,2018-01-30,409.9,22.1,45.1,0.172,41.7,452.8,6.99,55.56,2184.6,0.9,Bega
Amhara,Coffee,2021-09-16,46.0,16.4,16.6,0.323,36.0,2370.7,97.54,12.64,1324.7,0.87,Meher
Amhara,Wheat,2022-02-07,210.7,23.6,17.6,0.543,32.5,2940.2,94.56,37.86,4390.8,1.03,Bega
Tigray,Sorghum,2024-03-14,15.7,15.8,28.5,0.186,30.9,2089.1,52.69,64.89,2591.2,0.96,Belg
Gambella,Teff,2016-12-11,216.0,23.1,46.6,0.664,24.5,2075.3,90.57,71.99,611.4,1.38,Bega
Gambella,Teff,2022-08-25,204.4,29.9,21.2,0.202,30.5,4028.4,58.96,14.38,560.2,1.02,Meher
SNNPR,Sesame,2022-08-20,60.1,17.4,29.7,0.374,26.0,1636.1,46.37,32.35,672.6,0.83,Meher
Oromia,Sorghum,2016-12-01,21.1,19.4,14.3,0.504,21.0,2142.1,2.82,21.76,4615.2,0.98,Bega
Benishangul-Gumuz,Coffee,2022-05-23,235.4,23.4,36.3,0.549,31.7,1912.7,88.38,57.55,4176.0,0.72,Belg
Amhara,Teff,2019-10-18,60.3,20.0,33.6,0.895,31.8,3090.9,69.8,78.91,1427.5,0.56,Meher
Amhara,Teff,2023-01-12,149.1,27.0,38.6,0.349,32.2,1575.2,32.75,26.08,3768.2,1.87,Bega
Gambella,Sesame,2024-04-06,51.1,23.2,16.3,0.509,26.9,2599.9,14.48,58.37,4958.2,0.65,Belg
SNNPR,Maize,2017-06-28,128.1,12.5,15.0,0.167,24.8,2279.6,52.92,66.43,4191.3,1.97,Meher
Tigray,Sorghum,2016-02-24,42.5,24.3,49.6,0.28,32.2,1277.6,54.02,62.81,911.6,1.02,Bega
SNNPR,Coffee,2022-08-25,6.9,26.9,30.5,0.484,32.1,1807.5,78.07,25.35,1093.0,1.5,Meher
Gambella,Barley,2017-09-21,97.0,18.2,41.4,0.291,41.9,2377.7,83.15,74.61,857.5,0.84,Meher
Gambella,Coffee,2024-10-19,51.5,18.4,44.8,0.135,25.3,2442.1,32.79,11.25,203.8,1.23,Meher
Somali,Sesame,2018-06-30,84.0,29.8,45.9,0.677,23.9,2109.9,57.03,69.2,3364.6,0.98,Meher
Gambella,Barley,2019-12-17,270.2,19.7,12.1,0.391,30.0,2970.3,94.39,42.81,4625.2,1.53,Bega
Gambella,Barley,2023-05-15,313.3,24.7,48.8,0.112,32.1,3530.4,51.01,48.22,4246.0,1.03,Belg
Amhara,Maize,2015-07-10,71.5,23.3,24.4,0.263,6.8,3452.4,32.18,80.47,4952.8,1.61,Meher
Oromia,Sesame,2023-02-05,162.8,28.1,17.2,0.177,25.5,3548.2,8.7,86.61,2490.2,1.61,Bega
Gambella,Sesame,2024-06-29,100.8,20.8,34.5,0.766,30.8,1589.7,60.26,22.22,4777.7,1.43,Meher
Amhara,Coffee,2024-07-20,132.9,18.6,35.3,0.237,31.8,2684.0,91.04,43.36,2444.2,1.59,Meher
Tigray,Sorghum,2017-01-19,225.8,21.2,33.2,0.378,18.1,1746.1,43.34,40.6,2261.6,0.98,Bega
Somali,Sesame,2015-01-04,122.6,30.4,14.5,0.169,29.4,2232.7,82.48,44.1,4515.1,1.83,Bega
Oromia,Barley,2024-12-16,194.0,24.6,10.2,0.281,26.7,2917.9,86.08,31.81,4016.9,0.69,Bega
Amhara,Wheat,2023-10-11,154.4,33.3,49.3,0.798,26.6,3555.0,17.79,45.16,412.9,1.16,Meher
Somali,Wheat,2016-09-28,54.1,31.3,35.7,0.17,27.4,3720.2,43.89,73.47,1254.8,1.59,Meher
Benishangul-Gumuz,Sorghum,2021-03-25,92.4,26.2,44.0,0.463,28.3,2730.8,95.59,14.59,2054.4,1.17,Belg
Tigray,Coffee,2018-11-01,52.2,26.9,36.9,0.679,37.6,2863.4,69.91,37.75,1241.9,0.53,Bega
Tigray,Wheat,2023-09-12,14.7,28.6,24.5,0.455,33.1,3779.0,86.09,23.54,711.9,1.9,Meher
Oromia,Wheat,2020-09-05,90.9,17.2,12.5,0.289,33.5,1546.2,16.92,96.27,623.0,1.98,Meher
Gambella,Barley,2016-04-12,20.5,24.9,42.2,0.653,27.5,3280.7,93.52,89.38,2793.2,1.84,Belg
Tigray,Wheat,2019-11-17,139.1,31.1,36.9,0.428,36.5,1801.1,56.05,39.19,215.6,0.55,Bega
SNNPR,Coffee,2024-09-02,144.0,28.3,33.7,0.421,26.4,1704.3,95.62,52.81,2039.3,1.6,Meher
Somali,Sesame,2024-07-08,220.2,19.8,14.1,0.878,20.8,1271.0,81.5,30.76,2072.6,1.25,Meher
Benishangul-Gumuz,Barley,2016-05-29,100.6,30.2,30.2,0.244,22.6,3614.4,59.75,97.75,1544.5,1.61,Belg
Tigray,Wheat,2019-04-10,36.6,26.9,18.9,0.262,31.2,1926.1,32.12,77.01,652.0,1.5,Belg
Oromia,Coffee,2016-12-21,45.9,25.9,16.4,0.281,34.7,381.4,32.5,80.74,1195.7,1.43,Bega
SNNPR,Coffee,2018-07-18,92.9,19.5,11.8,0.719,28.9,1730.7,14.9,72.1,1758.6,0.7,Meher
Amhara,Coffee,2020-08-12,125.7,32.9,40.7,0.409,34.5,2520.9,54.88,76.21,2311.6,0.75,Meher
Amhara,Sesame,2020-05-23,74.6,32.5,29.8,0.593,32.5,1162.8,49.79,37.42,2115.2,0.9,Belg
SNNPR,Teff,2017-02-16,215.6,21.8,10.1,0.598,29.0,2888.7,25.64,96.42,4455.6,1.35,Bega
SNNPR,Barley,2024-05-21,106.4,18.5,49.4,0.589,34.1,2452.2,8.79,18.15,804.0,1.8,Belg
Amhara,Barley,2023-04-29,39.2,19.9,40.3,0.715,18.3,3010.9,35.96,90.39,1786.6,0.87,Belg
SNNPR,Teff,2021-03-04,157.5,23.4,21.7,0.513,20.9,2473.4,26.12,77.45,4987.4,1.62,Belg
Oromia,Wheat,2019-08-19,41.4,25.0,14.6,0.128,45.3,2774.7,53.81,13.58,3069.4,0.53,Meher
Benishangul-Gumuz,Maize,2023-02-21,85.7,28.6,44.6,0.136,25.3,2422.3,62.92,19.1,1775.3,1.56,Bega
Somali,Coffee,2015-08-22,155.7,16.7,13.5,0.356,43.2,2656.1,89.17,82.84,1395.0,0.9,Meher
Gambella,Barley,2023-06-20,31.1,28.1,42.8,0.21,28.0,2955.7,71.54,98.23,4304.4,1.04,Meher
Amhara,Maize,2023-06-18,204.6,26.1,19.1,0.881,24.0,2413.0,16.8,96.07,250.4,0.73,Meher
Amhara,Wheat,2018-07-26,118.0,27.1,28.3,0.79,22.3,2913.0,28.96,30.44,2650.4,0.97,Meher
Gambella,Maize,2018-03-20,31.8,22.5,10.7,0.523,25.9,2242.5,36.15,40.73,3993.6,1.76,Belg
Amhara,Sorghum,2019-07-04,163.8,20.8,37.9,0.69,37.3,1180.0,89.17,88.39,2198.6,1.88,Meher
SNNPR,Teff,2021-12-30,138.2,20.9,18.3,0.212,24.0,2826.0,36.64,70.73,2534.5,0.67,Bega
Amhara,Teff,2021-06-06,90.1,32.9,18.0,0.147,27.1,3253.2,63.94,59.35,4227.6,1.29,Meher
Benishangul-Gumuz,Sesame,2021-08-27,56.3,27.0,33.2,0.444,31.6,1293.0,66.37,75.42,1154.4,0.63,Meher
Gambella,Barley,2016-12-31,47.2,30.3,31.1,0.898,33.2,2241.3,65.36,97.48,1472.3,1.4,Bega
Benishangul-Gumuz,Coffee,2022-08-22,366.4,23.4,46.6,0.389,27.4,3417.1,23.56,23.44,581.8,1.33,Meher
Oromia,Barley,2018-02-23,31.0,23.7,16.6,0.421,24.1,1408.1,78.32,13.61,1901.1,1.35,Bega
Oromia,Sesame,2023-12-19,23.5,23.2,28.1,0.346,30.7,4048.8,14.8,77.53,4139.0,1.36,Bega
Amhara,Teff,2018-10-14,18.9,19.2,27.4,0.39,31.4,3411.3,23.77,68.65,1561.4,1.27,Meher
Amhara,Coffee,2019-12-07,165.1,27.9,39.8,0.746,31.4,3143.8,51.7,23.45,4663.3,1.2,Bega
Benishangul-Gumuz,Teff,2024-10-27,179.4,26.0,15.4,0.711,28.3,3117.4,51.73,98.39,249.9,1.8,Meher
Amhara,Maize,2019-04-28,154.7,23.1,37.5,0.75,20.7,3859.0,9.86,81.18,1997.3,1.83,Belg
Gambella,Teff,2016-10-09,91.8,20.0,24.2,0.531,19.3,2117.1,40.41,84.57,2162.0,1.69,Meher
SNNPR,Barley,2024-01-19,75.6,22.9,47.1,0.323,42.8,2590.2,68.5,55.28,686.4,1.3,Bega
Amhara,Teff,2020-02-19,22.3,34.2,13.8,0.717,38.5,4150.9,27.86,59.96,3062.5,1.87,Bega
Tigray,Maize,2024-05-03,118.4,24.4,31.2,0.732,23.2,3257.3,96.44,39.51,2666.9,0.79,Belg
Amhara,Barley,2021-06-15,77.4,16.2,25.3,0.252,36.4,908.4,74.58,16.99,1591.0,1.03,Meher
Benishangul-Gumuz,Wheat,2020-01-13,163.5,13.7,11.2,0.873,9.9,1560.5,49.98,17.9,1200.8,1.2,Bega
Amhara,Barley,2019-01-28,84.2,22.4,14.5,0.165,32.4,3899.7,67.42,77.35,989.9,1.56,Bega
Tigray,Coffee,2024-11-18,5.1,27.8,30.3,0.313,20.9,3149.1,14.79,76.86,2733.3,0.69,Bega
Somali,Coffee,2015-02-01,98.6,26.0,17.0,0.687,39.8,4226.2,35.93,88.86,315.8,0.86,Bega
SNNPR,Sorghum,2024-09-03,270.3,34.5,42.3,0.55,27.0,2032.7,28.85,25.69,4355.7,0.72,Meher
SNNPR,Wheat,2020-02-02,132.0,29.0,25.9,0.43,35.9,1687.3,2.43,52.56,2519.7,1.49,Bega
Oromia,Wheat,2022-07-23,41.3,26.6,28.6,0.664,27.8,2799.5,33.1,11.84,1383.4,1.77,Meher
Oromia,Teff,2018-12-23,30.4,18.0,13.2,0.226,28.9,2865.4,91.12,81.46,937.0,1.55,Bega
Gambella,Sorghum,2020-06-16,23.7,24.5,17.5,0.871,36.0,2041.0,36.81,81.62,655.6,0.98,Meher
Oromia,Teff,2023-03-25,218.1,18.3,11.3,0.263,25.6,1335.6,60.08,51.52,1517.0,1.46,Belg
Oromia,Sorghum,2017-03-13,173.9,25.6,44.8,0.885,38.0,2845.0,32.05,14.89,2404.1,0.54,Belg
SNNPR,Sorghum,2020-01-17,64.7,29.3,18.2,0.848,41.4,686.6,95.22,63.74,3099.5,0.78,Bega
SNNPR,Maize,2023-05-17,37.5,14.3,49.2,0.448,22.7,2416.7,47.16,58.75,645.3,1.81,Belg
Benishangul-Gumuz,Teff,2017-01-14,48.4,17.9,46.9,0.479,23.8,3632.3,0.99,11.97,575.3,1.6,Bega
SNNPR,Teff,2016-07-29,135.4,20.4,20.6,0.523,33.1,921.9,80.51,86.08,139.9,1.5,Meher
Amhara,Sesame,2019-10-12,84.8,22.1,47.4,0.638,30.0,1335.5,9.08,66.37,1546.7,1.78,Meher
Tigray,Teff,2023-05-21,28.3,22.9,30.3,0.529,31.5,3483.2,1.06,13.65,1415.1,1.03,Belg
Gambella,Sorghum,2021-01-21,9.1,29.1,24.1,0.795,34.1,3154.0,73.18,68.24,2693.9,1.08,Bega
Tigray,Teff,2022-03-04,66.3,27.7,29.8,0.564,31.5,2670.7,75.53,64.53,1716.6,0.78,Belg
Gambella,Sesame,2016-02-19,121.4,29.3,21.5,0.319,27.6,1945.2,51.26,10.48,1619.1,1.43,Bega
SNNPR,Maize,2015-02-27,94.3,20.1,44.2,0.888,29.3,3037.7,58.47,97.78,4410.1,0.53,Bega
Benishangul-Gumuz,Sorghum,2017-07-30,84.4,22.8,47.1,0.478,20.6,2039.5,16.93,41.65,4772.4,0.6,Meher
Tigray,Sesame,2016-08-14,78.5,22.8,29.4,0.508,25.8,3332.5,31.53,37.44,632.3,1.97,Meher
Oromia,Wheat,2015-11-24,156.1,26.1,15.8,0.427,26.5,1379.8,79.75,84.43,1399.4,0.88,Bega
SNNPR,Sorghum,2019-05-15,35.9,24.3,28.1,0.305,24.7,3576.6,73.06,96.57,4056.4,0.64,Belg
Amhara,Teff,2016-09-18,100.7,27.8,45.7,0.808,27.5,3695.1,37.94,68.09,1705.2,0.87,Meher
Tigray,Wheat,2015-07-02,103.0,25.6,48.2,0.419,39.9,3686.6,83.0,65.06,3429.1,1.88,Meher
Oromia,Sorghum,2021-02-01,194.3,16.8,47.6,0.527,28.1,2776.3,7.72,37.83,3722.4,1.9,Bega
Tigray,Teff,2023-06-12,10.1,29.5,37.5,0.772,31.3,1312.5,19.55,51.62,2062.0,1.98,Meher
Benishangul-Gumuz,Sesame,2015-02-06,139.0,29.9,44.9,0.777,34.3,2674.9,30.99,56.52,847.3,1.97,Bega
Somali,Wheat,2022-09-03,14.8,19.1,24.1,0.586,28.1,2185.1,11.0,15.99,4957.6,1.73,Meher
Benishangul-Gumuz,Teff,2016-03-22,50.9,24.4,26.2,0.346,39.2,2216.4,56.75,34.81,4713.0,0.88,Belg
Tigray,Sorghum,2022-12-03,34.2,24.6,32.1,0.621,21.6,2953.1,74.43,27.8,1876.2,0.71,Bega
Gambella,Barley,2020-10-17,95.9,23.5,15.5,0.522,33.2,2631.7,55.16,45.04,2999.0,1.69,Meher
Somali,Sorghum,2019-05-28,149.6,19.3,47.2,0.844,23.4,2837.7,46.72,44.86,4046.3,1.06,Belg
Amhara,Sesame,2024-08-21,78.0,24.2,49.3,0.504,42.2,2245.8,39.02,18.62,4812.5,0.53,Meher
Tigray,Wheat,2019-06-01,46.9,26.3,29.3,0.449,41.2,2131.3,1.02,21.66,231.1,1.2,Meher
Somali,Sesame,2019-07-22,96.9,34.3,48.1,0.489,41.1,2672.6,83.57,90.65,4520.8,1.06,Meher
Oromia,Sesame,2017-08-22,19.9,25.0,11.2,0.206,19.5,1961.2,75.19,60.01,4924.6,0.63,Meher
Somali,Barley,2020-03-30,128.9,26.5,49.7,0.316,34.8,2759.3,61.18,11.57,1963.2,1.22,Belg
Oromia,Teff,2017-04-27,20.5,27.4,24.2,0.858,29.6,1847.5,91.48,41.04,1155.3,1.19,Belg
Tigray,Coffee,2016-11-13,57.7,21.9,23.3,0.573,32.5,2594.9,40.8,19.08,1626.5,1.18,Bega
Oromia,Wheat,2020-11-04,36.8,23.0,39.7,0.469,39.8,2228.3,8.04,86.7,1699.3,0.84,Bega
Amhara,Teff,2019-12-20,26.5,31.1,41.9,0.621,21.2,1292.3,0.77,27.54,1798.7,1.45,Bega
Oromia,Sesame,2024-11-23,183.7,23.5,21.3,0.309,40.2,3656.6,48.64,93.81,3251.2,1.03,Bega
Somali,Maize,2024-07-20,25.0,24.4,20.7,0.177,29.9,1947.2,8.11,30.28,110.3,1.67,Meher
SNNPR,Wheat,2019-03-01,47.9,24.5,49.0,0.84,24.5,2722.7,42.07,14.72,488.4,1.06,Belg
Benishangul-Gumuz,Sesame,2021-03-10,37.0,21.0,42.2,0.693,40.5,2992.4,86.69,27.73,3245.9,0.62,Belg
